2025-07-17 21:45:38.755 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:38.860 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:38.964 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.067 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.170 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.274 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.377 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.480 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.583 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.685 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.789 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.894 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:39.997 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:40.228 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:40.228 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:40.461 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:40.461 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:40.690 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:40.690 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:40.912 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:40.912 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:41.153 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:41.154 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:41.371 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:41.371 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:41.608 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:41.609 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:41.834 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
